energy_%,bpm,danceability_%,liveness_%,valence_%,speechiness_%,instrumentalness_%
0.842,100.127,0.297,0.0848,0.586,0.0488,9.1e-06
0.944,146.347,0.27,0.116,0.606,0.0975,2.05e-05
0.182,136.094,0.349,0.143,0.178,0.031,0.0152
0.164,58.303,0.136,0.109,0.071,0.0364,0.916
0.00527,170.612,0.184,0.173,0.151,0.0432,0.887
0.449,92.468,0.447,0.0697,0.036,0.0376,0.961
0.812,80.09,0.505,0.444,0.664,0.461,0.0
0.507,130.007,0.872,0.111,0.506,0.072,0.0
0.802,128.085,0.835,0.0882,0.374,0.243,7.33e-06
0.533,120.011,0.794,0.207,0.15,0.0591,2.76e-05
0.722,119.973,0.769,0.111,0.57,0.0507,2.56e-06
0.684,166.976,0.832,0.229,0.68,0.359,0.0
0.642,111.907,0.65,0.0855,0.186,0.04,0.0
0.699,129.054,0.92,0.0745,0.484,0.358,0.0
0.628,119.98,0.757,0.221,0.321,0.101,0.0209
0.709,78.53,0.749,0.329,0.564,0.259,0.0
0.69,125.951,0.853,0.0835,0.471,0.0647,0.0
0.754,131.001,0.863,0.0913,0.301,0.0611,0.0
0.4,106.682,0.608,0.119,0.089,0.32,0.000327
0.509,157.94,0.662,0.266,0.549,0.322,0.0
0.663,143.082,0.76,0.305,0.209,0.0551,0.0
0.761,147.216,0.649,0.207,0.313,0.152,0.0
0.663,184.057,0.672,0.134,0.381,0.243,0.0
0.681,114.991,0.884,0.277,0.324,0.149,0.0
0.723,139.942,0.783,0.159,0.294,0.135,0.0
0.831,139.905,0.652,0.269,0.648,0.264,0.0
0.525,75.013,0.776,0.108,0.467,0.137,0.0
0.5,63.925,0.427,0.127,0.269,0.141,0.0
0.586,125.845,0.731,0.0987,0.147,0.172,0.0
0.552,144.941,0.64,0.119,0.112,0.129,0.0
0.472,101.061,0.898,0.141,0.214,0.0776,0.0
0.859,129.77,0.77,0.673,0.64,0.275,0.0
0.685,121.991,0.731,0.0865,0.458,0.12,0.0
0.578,124.005,0.916,0.113,0.192,0.124,0.00402
0.574,146.007,0.694,0.082,0.286,0.0483,0.0
0.867,131.041,0.902,0.142,0.799,0.225,0.0
0.692,140.203,0.637,0.345,0.427,0.164,0.0
0.478,104.563,0.675,0.127,0.39,0.512,7.8e-06
0.878,82.557,0.661,0.381,0.514,0.31,0.0
0.396,78.022,0.726,0.527,0.413,0.283,0.0
0.711,117.038,0.974,0.0888,0.328,0.194,3.92e-05
0.527,77.499,0.824,0.368,0.212,0.118,0.0
0.752,158.042,0.638,0.17,0.242,0.0385,0.734
0.826,108.52,0.654,0.131,0.417,0.354,0.00146
0.472,101.061,0.898,0.141,0.214,0.0776,0.0
0.764,140.113,0.882,0.119,0.886,0.204,0.0
0.552,144.941,0.64,0.119,0.112,0.129,0.0
0.632,123.987,0.848,0.282,0.253,0.277,0.0
0.805,142.096,0.548,0.408,0.649,0.351,0.000405
0.631,121.854,0.772,0.129,0.433,0.0431,0.0
0.702,125.089,0.871,0.0912,0.675,0.253,0.0
0.57,142.974,0.787,0.135,0.733,0.225,0.0
0.583,116.624,0.709,0.195,0.533,0.204,2.97e-06
0.592,159.98,0.82,0.121,0.4,0.29,4.71e-06
0.68,144.006,0.85,0.0964,0.694,0.338,0.0
0.758,165.409,0.681,0.555,0.331,0.188,0.0
0.413,131.964,0.772,0.111,0.211,0.0891,0.0
0.658,151.951,0.752,0.0927,0.387,0.342,0.0
0.732,142.791,0.548,0.269,0.612,0.336,0.0
0.676,143.477,0.594,0.163,0.472,0.344,0.0
0.618,99.7,0.49,0.259,0.286,0.104,3.77e-06
0.35,77.528,0.822,0.0757,0.346,0.574,0.0
0.946,150.141,0.804,0.359,0.745,0.352,0.0
0.626,143.01,0.819,0.167,0.415,0.202,0.101
0.592,188.051,0.696,0.127,0.232,0.319,0.0
0.547,138.05,0.92,0.0998,0.606,0.272,1.45e-06
0.395,76.984,0.793,0.109,0.128,0.385,1.4e-05
0.774,130.007,0.867,0.157,0.549,0.315,0.0
0.449,136.006,0.578,0.119,0.1,0.286,2.17e-06
0.673,165.921,0.529,0.093,0.366,0.175,2.41e-06
0.73,156.953,0.729,0.118,0.41,0.261,4.33e-05
0.487,127.05,0.964,0.115,0.108,0.421,6.07e-06
0.732,149.012,0.841,0.136,0.576,0.19,2.18e-05
0.611,134.093,0.711,0.23,0.144,0.33,0.0
0.733,130.029,0.847,0.151,0.202,0.16,1.04e-05
0.48,143.029,0.846,0.0989,0.419,0.359,0.0
0.575,120.031,0.88,0.109,0.671,0.163,0.0
0.727,150.062,0.477,0.108,0.227,0.286,0.0
0.495,137.027,0.853,0.0844,0.0774,0.14,0.000217
0.434,150.062,0.833,0.165,0.281,0.431,0.0219
0.564,77.972,0.856,0.134,0.483,0.392,0.0
0.67,139.956,0.79,0.119,0.408,0.105,2.32e-06
0.733,97.974,0.825,0.112,0.62,0.0969,0.0
0.567,75.965,0.574,0.258,0.526,0.465,0.0
0.434,150.062,0.833,0.165,0.281,0.431,0.0219
0.665,94.329,0.583,0.112,0.463,0.18,0.0
0.346,119.957,0.963,0.108,0.562,0.53,0.0
0.577,148.107,0.797,0.301,0.17,0.195,0.0
0.59,119.97,0.88,0.184,0.723,0.204,0.0
0.631,129.902,0.807,0.117,0.126,0.111,0.0
0.413,131.964,0.772,0.111,0.211,0.0891,0.0
0.822,165.946,0.513,0.11,0.768,0.383,0.0
0.666,127.079,0.926,0.123,0.168,0.244,0.0
0.575,145.95,0.713,0.169,0.189,0.0501,0.0
0.586,124.041,0.808,0.14,0.568,0.169,0.0
0.676,162.012,0.814,0.119,0.312,0.231,1.28e-05
0.928,109.966,0.616,0.156,0.23,0.043,0.0
0.542,135.14,0.926,0.0877,0.564,0.293,0.0
0.637,135.055,0.851,0.227,0.616,0.104,0.0
0.718,128.14,0.76,0.0982,0.557,0.232,0.0
0.748,115.01,0.752,0.105,0.497,0.0895,0.0
0.536,119.967,0.689,0.169,0.349,0.174,0.0
0.531,118.96,0.566,0.179,0.367,0.0716,0.0
0.657,124.992,0.883,0.128,0.284,0.305,0.0
0.88,92.055,0.753,0.146,0.582,0.081,0.0
0.496,86.003,0.889,0.252,0.544,0.0905,0.0
0.708,96.914,0.712,0.29,0.634,0.247,0.0
0.696,120.146,0.744,0.0808,0.406,0.117,0.0
0.629,140.101,0.523,0.323,0.209,0.0549,0.0
0.735,99.827,0.697,0.099,0.403,0.0497,0.0
0.671,147.037,0.607,0.128,0.316,0.0863,1.31e-06
0.486,110.964,0.784,0.101,0.0894,0.0475,0.497
0.583,116.624,0.709,0.195,0.533,0.204,2.97e-06
0.385,129.958,0.69,0.236,0.19,0.0817,0.0
0.411,172.445,0.722,0.0976,0.503,0.387,0.0
0.484,133.03,0.93,0.0922,0.747,0.259,6.84e-05
0.6,113.903,0.883,0.0931,0.691,0.37,7.94e-06
